t/ f/ h/ w/ f_s/ h_s
10/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 3, 4, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 2, 2, 1, 4, 2, 2, 2, 2, 1, 2, 2, 1, 3, 1]
11/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [1, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 4, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 2, 2, 1, 4, 2, 2, 2, 2, 1, 2, 2, 1, 3, 1]
12/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [2, 2, 3, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 4, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 4, 2, 3, 2, 2, 2, 2, 2, 2, 3, 1]
13/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [2, 2, 4, 3, 3, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 4, 3, 4, 3, 2, 2, 3, 2, 3, 2, 2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 4, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2]
14/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [2, 2, 4, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 4, 3, 4, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 4, 2, 3, 2, 4, 3, 3, 2, 3, 2, 3, 2, 2, 3, 2]
15/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [2, 2, 4, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 5, 3, 5, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 2, 4, 2, 3, 2, 4, 3, 4, 3, 3, 2, 3, 3, 2, 3, 2]
16/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 187, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [3, 3, 5, 3, 4, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 4, 3, 3, 3, 4, 3, 4, 3, 3, 2, 3, 3, 2, 3, 2]
17/ []/ [111, 191, 363, 20, 82, 236, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 79, 307, 260]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [3, 3, 5, 3, 4, 3, 4, 2, 4, 3, 3, 3, 4, 3, 3, 3, 5, 4, 5, 4, 2, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 5, 4, 4, 3, 3, 2, 3, 2, 4, 3]
18/ []/ [111, 191, 363, 20, 82, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 79, 307]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ []/ [3, 3, 5, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 5, 4, 6, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 5, 3, 3, 3, 5, 4, 5, 4, 4, 2, 4, 3, 4]
19/ [352]/ [111, 191, 363, 20, 82, 186, 76, 113, 183, 323, 110, 90, 34, 120, 371, 83, 57, 257, 309, 383, 374, 17, 141, 151, 195, 347, 234, 272, 189, 247, 271, 80, 56, 138, 333, 361, 74, 344, 215, 343, 81, 23, 219, 259, 268, 85, 13, 345, 381, 114, 334, 89, 79, 307]/ [368, 169, 35, 289, 310, 117, 249, 124, 186, 306, 371, 52, 199, 309, 172, 132, 248, 266, 374, 141, 217, 285, 152, 112, 324, 225, 333, 255, 373, 273, 282, 369, 360, 97, 75, 237, 228, 40, 125, 307]/ [0]/ [3, 3, 5, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 5, 4, 6, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 5, 3, 4, 3, 5, 4, 5, 4, 4, 3, 4, 3, 4]
