id v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix ang layer
104 0.0 50.45 10.1 0.0 50.45 11.9 0.0 47.31 11.9 0.0 47.31 10.1 3 x 180 4
105 0.0 43.78 10.1 0.0 43.78 11.9 0.0 40.92 11.9 0.0 40.92 10.1 3 x 180 4
106 0.0 36.43 10.1 0.0 36.43 11.9 0.0 33.57 11.9 0.0 33.57 10.1 3 x 180 4
107 0.0 29.19 10.1 0.0 29.19 11.9 0.0 27.28 11.9 0.0 27.28 10.1 3 x 180 4
108 3.53 24.32 10.1 3.53 24.32 11.9 3.53 20.87 11.9 3.53 20.87 10.1 4 x 180 4
109 3.53 19.46 10.1 3.53 19.46 11.9 3.53 17.77 11.9 3.53 17.77 10.1 4 x 180 4
110 3.53 15.17 10.1 3.53 15.17 11.9 3.53 11.92 11.9 3.53 11.92 10.1 4 x 180 4
111 3.53 8.11 10.1 3.53 8.11 11.9 3.53 5.34 11.9 3.53 5.34 10.1 4 x 180 4
112 5.44 0.0 10.1 5.44 0.0 11.9 6.87 0.0 11.9 6.87 0.0 10.1 5 y 270 4
113 11.25 0.0 10.1 11.25 0.0 11.9 14.02 0.0 11.9 14.02 0.0 10.1 5 y 270 4
114 17.93 0.0 10.1 17.93 0.0 11.9 20.6 0.0 11.9 20.6 0.0 10.1 5 y 270 4
115 24.41 0.0 10.1 24.41 0.0 11.9 27.18 0.0 11.9 27.18 0.0 10.1 5 y 270 4
116 31.09 0.0 10.1 31.09 0.0 11.9 34.05 0.0 11.9 34.05 0.0 10.1 5 y 270 4
117 37.86 0.0 10.1 37.86 0.0 11.9 40.72 0.0 11.9 40.72 0.0 10.1 5 y 270 4
118 44.82 0.0 10.1 44.82 0.0 11.9 47.49 0.0 11.9 47.49 0.0 10.1 5 y 270 4
119 51.31 0.0 10.1 51.31 0.0 11.9 54.46 0.0 11.9 54.46 0.0 10.1 5 y 270 4
120 59.51 0.0 10.1 59.51 0.0 11.9 63.52 0.0 11.9 63.52 0.0 10.1 5 y 270 4
121 68.38 6.58 10.1 68.38 6.58 11.9 68.38 4.49 11.9 68.38 4.49 10.1 6 x 0 4
122 68.38 12.69 10.1 68.38 12.69 11.9 68.38 9.54 11.9 68.38 9.54 10.1 6 x 0 4
123 68.38 19.55 10.1 68.38 19.55 11.9 68.38 16.69 11.9 68.38 16.69 10.1 6 x 0 4
124 65.01 25.56 10.1 65.01 25.56 11.9 68.19 25.56 11.9 68.19 25.56 10.1 7 y 90 4
125 57.41 25.56 10.1 57.41 25.56 11.9 61.51 25.56 11.9 61.51 25.56 10.1 7 y 90 4
126 50.74 25.56 10.1 50.74 25.56 11.9 54.84 25.56 11.9 54.84 25.56 10.1 7 y 90 4
127 43.97 25.56 10.1 43.97 25.56 11.9 47.97 25.56 11.9 47.97 25.56 10.1 7 y 90 4
128 32.81 36.53 13.1 32.81 36.53 14.9 32.81 32.62 14.9 32.81 32.62 13.1 1 x 0 5
129 32.81 43.4 13.1 32.81 43.4 14.9 32.81 39.49 14.9 32.81 39.49 13.1 1 x 0 5
130 32.81 49.89 13.1 32.81 49.89 14.9 32.81 46.16 14.9 32.81 46.16 13.1 1 x 0 5
131 32.81 57.89 13.1 32.81 57.89 14.9 32.81 54.55 14.9 32.81 54.55 13.1 1 x 0 5
132 15.83 58.37 13.1 15.83 58.37 14.9 20.22 58.37 14.9 20.22 58.37 13.1 2 y 90 5
133 9.35 58.37 13.1 9.35 58.37 14.9 13.54 58.37 14.9 13.54 58.37 13.1 2 y 90 5
134 2.67 58.37 13.1 2.67 58.37 14.9 6.48 58.37 14.9 6.48 58.37 13.1 2 y 90 5
135 0.0 55.79 13.1 0.0 55.79 14.9 0.0 53.88 14.9 0.0 53.88 13.1 3 x 180 5
136 0.0 50.45 13.1 0.0 50.45 14.9 0.0 47.31 14.9 0.0 47.31 13.1 3 x 180 5
137 0.0 43.78 13.1 0.0 43.78 14.9 0.0 40.92 14.9 0.0 40.92 13.1 3 x 180 5
138 0.0 36.43 13.1 0.0 36.43 14.9 0.0 33.57 14.9 0.0 33.57 13.1 3 x 180 5
139 0.0 29.19 13.1 0.0 29.19 14.9 0.0 27.28 14.9 0.0 27.28 13.1 3 x 180 5
140 3.53 24.32 13.1 3.53 24.32 14.9 3.53 20.87 14.9 3.53 20.87 13.1 4 x 180 5
141 3.53 19.46 13.1 3.53 19.46 14.9 3.53 17.77 14.9 3.53 17.77 13.1 4 x 180 5
142 3.53 15.17 13.1 3.53 15.17 14.9 3.53 11.92 14.9 3.53 11.92 13.1 4 x 180 5
143 3.53 8.11 13.1 3.53 8.11 14.9 3.53 5.34 14.9 3.53 5.34 13.1 4 x 180 5
144 5.44 0.0 13.1 5.44 0.0 14.9 6.87 0.0 14.9 6.87 0.0 13.1 5 y 270 5
145 11.25 0.0 13.1 11.25 0.0 14.9 14.02 0.0 14.9 14.02 0.0 13.1 5 y 270 5
146 17.93 0.0 13.1 17.93 0.0 14.9 20.6 0.0 14.9 20.6 0.0 13.1 5 y 270 5
147 24.41 0.0 13.1 24.41 0.0 14.9 27.18 0.0 14.9 27.18 0.0 13.1 5 y 270 5
148 31.09 0.0 13.1 31.09 0.0 14.9 34.05 0.0 14.9 34.05 0.0 13.1 5 y 270 5
149 37.86 0.0 13.1 37.86 0.0 14.9 40.72 0.0 14.9 40.72 0.0 13.1 5 y 270 5
150 44.82 0.0 13.1 44.82 0.0 14.9 47.49 0.0 14.9 47.49 0.0 13.1 5 y 270 5
